external_id;canonical_name;label_en;label_ru;platforms;aliases;external_url
Q2825608;Aero Fighters 3;Aero Fighters 3;Aero Fighters 3;PlayStation 4;Aero Fighters 3 | ACA NEOGEO Aero Fighters 3 | Aero Fighters III | Sonic Wings 3;https://www.wikidata.org/wiki/Q2825608
Q2708224;Aero the Acro-Bat;Aero the Acro-Bat;Aero the Acro-Bat;PlayStation 5 | PlayStation 4;Aero the Acro-Bat | Aero the Acro-Bat: Rascal Rival Revenge;https://www.wikidata.org/wiki/Q2708224
Q111419455;Aery - Sky Castle;Aery - Sky Castle;;PlayStation 4;Aery - Sky Castle;https://www.wikidata.org/wiki/Q111419455
Q123821033;Aeterna Lucis;Aeterna Lucis;;PlayStation 5 | PlayStation 4;Aeterna Lucis;https://www.wikidata.org/wiki/Q123821033
Q110159038;Aeterna Noctis;Aeterna Noctis;;PlayStation 5 | PlayStation 4;Aeterna Noctis;https://www.wikidata.org/wiki/Q110159038
Q58898851;Aeterno Blade;Aeterno Blade;;PlayStation 4;Aeterno Blade | AeternoBlade;https://www.wikidata.org/wiki/Q58898851
Q111844850;AEW Fight Forever;AEW Fight Forever;AEW Fight Forever;PlayStation 5 | PlayStation 4;AEW Fight Forever | All Elite Wrestling Fight Forever;https://www.wikidata.org/wiki/Q111844850
Q124062805;AFFECTED: The Manor - The Complete Edition;AFFECTED: The Manor - The Complete Edition;;PlayStation 4;AFFECTED: The Manor - The Complete Edition | AFFECTED;https://www.wikidata.org/wiki/Q124062805
Q119957410;AFL 23;AFL 23;;PlayStation 5 | PlayStation 4;AFL 23 | AFL 2023;https://www.wikidata.org/wiki/Q119957410
Q133883890;AFL 26;AFL 26;;PlayStation 5 | PlayStation 4;AFL 26;https://www.wikidata.org/wiki/Q133883890
